"Capital", "State", "Abbreviation", "Latitude", "Longitude", "Population"
"Montgomery", "Alabama", "AL", 32.361538,   -86.279118,       200983
"Juneau", "Alaska", "AK", 58.301935,  -134.419740,             31118
"Phoenix", "Arizona", "AZ", 33.448457,  -112.073844,         1418041
"Little Rock", "Arkansas", "AR", 34.736009,   -92.331122,     184081
"Sacramento", "California", "CA", 38.555605,  -121.468926,    454330
"Denver", "Colorado", "CO", 39.7391667, -104.984167,          556835
"Hartford", "Connecticut", "CT", 41.767,      -72.677,        124848
"Dover", "Delaware", "DE", 39.161921,   -75.526755,            32135
"Tallahassee", "Florida", "FL", 30.4518,     -84.27277,       156612
"Atlanta", "Georgia", "GA", 33.76,       -84.39,              419122
"Honolulu", "Hawaii", "HI", 21.30895,   -157.826182,          377260
"Boise", "Idaho", "ID", 43.613739,  -116.237651,              190122
"Springfield", "Illinois", "IL", 39.783250,   -89.650373,     114738
"Indianapolis", "Indiana", "IN", 39.790942,   -86.147685,     784242
"Des Moines", "Iowa", "IA", 41.590939,   -93.620866,          194311
"Topeka", "Kansas", "KS", 39.04,       -95.69,                122377
"Frankfort", "Kentucky", "KY", 38.197274,   -84.86311,         27741
"Baton Rouge", "Louisiana", "LA", 30.45809,    -91.140229,    224097
"Augusta", "Maine", "ME", 44.323535,   -69.765261,             18560
"Annapolis", "Maryland", "MD", 38.972945,   -76.501157,        36217
"Boston", "Massachusetts", "MA", 42.2352,     -71.0275,       569165
"Lansing", "Michigan", "MI", 42.7335,     -84.5467,           116941
"Saint Paul", "Minnesota", "MN", 44.95,       -93.094,        276963
"Jackson", "Mississippi", "MS", 32.320,      -90.207,         179298
"Jefferson City", "Missouri", "MO", 38.572954,   -92.189283,   39636
"Helena", "Montana", "MT", 46.595805,  -112.027031,            25780
"Lincoln", "Nebraska", "NE", 40.809868,   -96.675345,         236146
"Carson City", "Nevada", "NV", 39.160949,  -119.753877,        52457
"Concord", "New Hampshire", "NH", 43.220093,   -71.549127,     40687
"Trenton", "New Jersey", "NJ", 40.221741,   -74.756138,        85402
"Santa Fe", "New Mexico", "NM", 35.667231,  -105.964575,       62203
"Albany", "New York", "NY", 42.659829,   -73.781339,           95658
"Raleigh", "North Carolina", "NC", 35.771,      -78.638,      326653
"Bismarck", "North Dakota", "ND", 48.813343,  -100.779004,     55532
"Columbus", "Ohio", "OH", 39.962245,   -83.000647,            730008
"Oklahoma City", "Oklahoma", "OK", 35.482309,   -97.534994,   528042
"Salem", "Oregon", "OR", 44.931109,  -123.029159,             146120
"Harrisburg", "Pennsylvania", "PA", 40.269789,   -76.875613,   48950
"Providence", "Rhode Island", "RI", 41.82355,    -71.422132,  178126
"Columbia", "South Carolina", "SC", 34.000,      -81.035,     116331
"Pierre", "South Dakota", "SD", 44.367966,  -100.336378,       13876
"Nashville", "Tennessee", "TN", 36.165,      -86.784,         546719
"Austin", "Texas", "TX", 30.266667,   -97.75,                 681804
"Salt Lake City", "Utah", "UT", 40.7547,    -111.892622,      178605
"Montpelier", "Vermont", "VT", 44.26639,    -72.57194,          8035
"Richmond", "Virginia", "VA", 37.54,       -77.46,            192494
"Olympia", "Washington", "WA", 47.042418,  -122.893077,        42514
"Charleston", "West Virginia", "WV", 38.349497,   -81.633294,  53421
"Madison", "Wisconsin", "WI", 43.074722,   -89.384444,        220332
"Cheyenne", "Wyoming", "WY", 41.145548,  -104.802042,          55362

